site,month,calendar_days,k_mcar,k_block_1,k_block_2,k_weekday_heavy,k_weekend_heavy,k_markov,recommended_k,threshold_status,operational_status
001-0183,1,31,14,15,15,16,21,15,16,certified,complete_exact
001-0183,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
001-0183,3,31,10,14,11,10,15,11,14,certified,incomplete_requires_prediction
001-0183,4,30,9,8,10,11,20,10,11,certified,incomplete_requires_prediction
001-0183,5,31,9,12,12,11,12,10,12,certified,complete_exact
001-0183,6,30,6,6,7,9,10,6,9,certified,complete_exact
001-0183,7,31,12,14,13,15,20,13,15,certified,complete_exact
001-0183,8,31,6,7,10,7,13,7,10,certified,complete_exact
001-0183,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
001-0183,10,31,5,7,7,11,7,6,11,certified,complete_exact
001-0183,11,30,10,15,12,11,18,12,15,certified,complete_exact
001-0183,12,31,13,14,12,13,15,14,14,certified,incomplete_requires_prediction
001-0185,1,31,26,27,27,25,28,27,27,certified,complete_exact
001-0185,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
001-0185,3,31,20,22,24,20,28,23,24,certified,complete_exact
001-0185,4,30,23,24,25,24,27,24,25,certified,complete_exact
001-0185,5,31,25,27,27,25,28,26,27,certified,complete_exact
001-0185,6,30,19,15,14,16,26,21,21,certified,complete_exact
001-0185,7,31,22,22,24,22,26,23,24,certified,complete_exact
001-0185,8,31,19,14,15,16,26,19,19,certified,incomplete_requires_prediction
001-0185,9,30,25,23,26,24,26,27,27,certified,incomplete_requires_prediction
001-0185,10,31,21,22,24,21,27,23,24,certified,complete_exact
001-0185,11,30,19,22,22,19,25,21,22,certified,complete_exact
001-0185,12,31,23,25,26,22,26,24,26,certified,complete_exact
003-0132,1,31,14,15,15,16,21,15,16,certified,complete_exact
003-0132,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
003-0132,3,31,8,12,10,8,12,10,12,certified,complete_exact
003-0132,4,30,6,7,9,9,11,7,9,certified,complete_exact
003-0132,5,31,9,12,12,11,12,10,12,certified,incomplete_requires_prediction
003-0132,6,30,6,6,8,9,14,7,9,certified,complete_exact
003-0132,7,31,13,15,14,15,20,15,15,certified,complete_exact
003-0132,8,31,6,7,10,7,13,8,10,certified,complete_exact
003-0132,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
003-0132,10,31,5,7,7,11,7,6,11,certified,complete_exact
003-0132,11,30,11,15,13,11,19,13,15,certified,complete_exact
003-0132,12,31,13,14,12,13,15,14,14,certified,complete_exact
003-0138,1,31,14,15,15,16,21,15,16,certified,complete_exact
